reef,longitude,latitude,month,year,month_year,month_year2,coral_type,lightest_letter,lightest_number,darkest_letter,darkest_number
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,4,C,2
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,4,C,3
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,4,C,3
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,5,C,2
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Branching,C,4,C,4
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,D,5,D,3
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,4,C,3
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,4,C,1
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,4,C,2
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,4,C,3
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,4,C,2
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,4,C,3
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,D,5,D,2
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,4,C,2
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Branching,C,4,C,4
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Branching,C,4,C,3
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,4,C,1
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Branching,C,4,C,4
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Branching,C,5,C,3
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,5,C,2
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,D,5,D,2
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,5,C,1
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,E,6,E,2
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Branching,C,1,C,1
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,6,C,3
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,E,6,E,2
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Plate,C,3,C,3
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,4,C,2
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Branching,C,5,C,3
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,5,C,2
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,3,C,2
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,5,C,3
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,5,C,2
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Branching,C,4,C,2
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,5,D,2
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Branching,C,3,C,2
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,5,D,2
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,4,C,3
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,D,4,D,1
Pottery,99.81987,10.08253,12,2018,2018-12-01,2018-12,Boulder,C,4,D,2
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,C,5,C,2
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,C,5,C,2
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,E,5,E,2
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Branching,B,5,B,4
